size,sparsity,min,max,runtime,hardware
200,0.75,1,10000,0,1_8
200,0.75,10,100,0,1_8
200,0.75,10,1000,0,1_8
200,0.75,10,10000,0,1_8
200,0.75,50,100,0,1_8
200,0.75,50,1000,0,1_8
200,0.75,50,10000,0,1_8
300,0.0,1,100,0,1_8
300,0.0,1,1000,0,1_8
300,0.0,1,10000,0,1_8
300,0.0,10,100,0,1_8
300,0.0,10,1000,0,1_8
300,0.0,10,10000,0,1_8
300,0.0,50,100,0,1_8
300,0.0,50,1000,0,1_8
300,0.0,50,10000,0,1_8
300,0.25,1,100,0,1_8
300,0.25,1,1000,0,1_8
300,0.25,1,10000,0,1_8
300,0.25,10,100,0,1_8
300,0.25,10,1000,0,1_8
300,0.25,10,10000,0,1_8
300,0.25,50,100,0,1_8
300,0.25,50,1000,0,1_8
300,0.25,50,10000,0,1_8
300,0.5,1,100,0,1_8
300,0.5,1,1000,0,1_8
300,0.5,1,10000,0,1_8
300,0.5,10,100,0,1_8
300,0.5,10,1000,0,1_8
300,0.5,10,10000,0,1_8
300,0.5,50,100,0,1_8
300,0.5,50,1000,0,1_8
300,0.5,50,10000,0,1_8
300,0.75,1,100,0,1_8
300,0.75,1,1000,0,1_8
300,0.75,1,10000,0,1_8
300,0.75,10,100,0,1_8
300,0.75,10,1000,0,1_8
300,0.75,10,10000,0,1_8
300,0.75,50,100,0,1_8
300,0.75,50,1000,0,1_8
300,0.75,50,10000,0,1_8
400,0.0,1,100,0,1_8
400,0.0,1,1000,0,1_8
400,0.0,1,10000,0,1_8
400,0.0,10,100,0,1_8
400,0.0,10,1000,0,1_8
400,0.0,10,10000,0,1_8
400,0.0,50,100,0,1_8
400,0.0,50,1000,0,1_8
400,0.0,50,10000,0,1_8
400,0.25,1,100,1,1_8
400,0.25,1,1000,0,1_8
400,0.25,1,10000,0,1_8
400,0.25,10,100,0,1_8
400,0.25,10,1000,0,1_8
400,0.25,10,10000,0,1_8
400,0.25,50,100,0,1_8
400,0.25,50,1000,0,1_8
400,0.25,50,10000,0,1_8
400,0.5,1,100,0,1_8
400,0.5,1,1000,0,1_8
400,0.5,1,10000,0,1_8
400,0.5,10,100,0,1_8
400,0.5,10,1000,0,1_8
400,0.5,10,10000,0,1_8
400,0.5,50,100,0,1_8
400,0.5,50,1000,0,1_8
400,0.5,50,10000,0,1_8
400,0.75,1,100,0,1_8
400,0.75,1,1000,0,1_8
400,0.75,1,10000,0,1_8
400,0.75,10,100,0,1_8
400,0.75,10,1000,0,1_8
400,0.75,10,10000,0,1_8
400,0.75,50,100,0,1_8
400,0.75,50,1000,0,1_8
400,0.75,50,10000,0,1_8
500,0.0,1,100,0,1_8
500,0.0,1,1000,0,1_8
500,0.0,1,10000,0,1_8
500,0.0,10,100,0,1_8
500,0.0,10,1000,0,1_8
500,0.0,10,10000,0,1_8
500,0.0,50,100,0,1_8
500,0.0,50,1000,0,1_8
500,0.0,50,10000,0,1_8
500,0.25,1,100,0,1_8
500,0.25,1,1000,0,1_8
500,0.25,1,10000,0,1_8
500,0.25,10,100,0,1_8
500,0.25,10,1000,0,1_8
500,0.25,10,10000,0,1_8
500,0.25,50,100,0,1_8
500,0.25,50,1000,0,1_8
500,0.25,50,10000,0,1_8
500,0.5,1,100,0,1_8
500,0.5,1,1000,0,1_8
500,0.5,1,10000,0,1_8
500,0.5,10,100,0,1_8
500,0.5,10,1000,0,1_8
500,0.5,10,10000,0,1_8
500,0.5,50,100,0,1_8
500,0.5,50,1000,0,1_8
500,0.5,50,10000,0,1_8
500,0.75,1,100,0,1_8
500,0.75,1,1000,0,1_8
500,0.75,1,10000,0,1_8
500,0.75,10,100,0,1_8
500,0.75,10,1000,0,1_8
500,0.75,10,10000,0,1_8
500,0.75,50,100,0,1_8
500,0.75,50,1000,0,1_8
500,0.75,50,10000,0,1_8
750,0.0,1,100,0,1_8
750,0.0,1,1000,0,1_8
750,0.0,1,10000,0,1_8
750,0.0,10,100,0,1_8
750,0.0,10,1000,0,1_8
750,0.0,10,10000,0,1_8
750,0.0,50,100,0,1_8
750,0.0,50,1000,0,1_8
750,0.0,50,10000,0,1_8
750,0.25,1,100,0,1_8
750,0.25,1,1000,0,1_8
750,0.25,1,10000,0,1_8
750,0.25,10,100,0,1_8
750,0.25,10,1000,0,1_8
750,0.25,10,10000,0,1_8
750,0.25,50,100,0,1_8
750,0.25,50,1000,0,1_8
750,0.25,50,10000,0,1_8
750,0.5,1,100,0,1_8
750,0.5,1,1000,0,1_8
750,0.5,1,10000,0,1_8
750,0.5,10,100,0,1_8
750,0.5,10,1000,1,1_8
750,0.5,10,10000,0,1_8
750,0.5,50,100,0,1_8
750,0.5,50,1000,0,1_8
750,0.5,50,10000,0,1_8
750,0.75,1,100,0,1_8
750,0.75,1,1000,0,1_8
750,0.75,1,10000,0,1_8
750,0.75,10,100,0,1_8
750,0.75,10,1000,0,1_8
750,0.75,10,10000,0,1_8
750,0.75,50,100,0,1_8
750,0.75,50,1000,0,1_8
750,0.75,50,10000,0,1_8
